"player_id","n_innings_hist","n_future_innings","threshold","P_total_gt_threshold","median_sim_total","sim_q10","sim_q90"
"Player_001",50,10,200,0.88,285,206.2,410.4
"Player_002",50,10,200,0.44,196,150,238.4
"Player_003",50,10,200,0.4,194,120.8,280.4
"Player_004",50,10,200,0.56,216,157,295
"Player_005",50,10,200,0.8,243,168.2,318.4
"Player_006",50,10,200,1,421,286,602.8
"Player_007",50,10,200,1,411,295.2,587.4
"Player_008",50,10,200,1,409,311.4,581.4
"Player_009",50,10,200,1,608,441.2,780.6
"Player_010",50,10,200,1,330,238,453.4
"Player_011",50,10,200,0.52,201,131.4,295.8
"Player_012",50,10,200,0.92,291,212.4,393.2
"Player_013",50,10,200,0.4,167,127.6,261.4
"Player_014",50,10,200,0.32,191,128.2,256.4
"Player_015",50,10,200,0.28,156,102.8,224
"Player_016",50,10,200,0.84,291,195.4,359
"Player_017",50,10,200,0.32,181,154.8,257.8
"Player_018",50,10,200,1,609,420.4,815.8
"Player_019",50,10,200,0.2,173,120.4,229.8
"Player_020",50,10,200,0.96,358,233.4,541.8
"Player_021",50,10,200,1,406,239.2,649.8
"Player_022",50,10,200,1,518,351.2,657
"Player_023",50,10,200,0.88,251,176.2,426.4
"Player_024",50,10,200,0.76,279,171.2,477.2
"Player_025",50,10,200,0.36,182,114,281
"Player_026",50,10,200,0.68,232,145.6,318.6
"Player_027",50,10,200,0.2,177,130.8,214.8
"Player_028",50,10,200,0.96,330,247,497.6
"Player_029",50,10,200,1,470,302.2,613
"Player_030",50,10,200,1,395,280.4,524.2
"Player_031",50,10,200,0.76,223,172.6,362.4
"Player_032",50,10,200,0.4,192,146,234.4
"Player_033",50,10,200,1,566,409.4,714.4
"Player_034",50,10,200,0.92,276,215.8,364.6
"Player_035",50,10,200,0.72,242,169.4,357.2
"Player_036",50,10,200,1,463,331.8,672.2
"Player_037",50,10,200,1,345,252.8,466.2
"Player_038",50,10,200,0.52,204,163.8,236
"Player_039",50,10,200,1,357,231.6,467
"Player_040",50,10,200,0.44,197,168.6,231.2
"Player_041",50,10,200,0.92,271,212.6,352.8
"Player_042",50,10,200,0.52,202,141.4,289
"Player_043",50,10,200,0.76,242,161.8,353.8
"Player_044",50,10,200,0.96,298,237.8,433
"Player_045",50,10,200,0.92,263,203,395.4
"Player_046",50,10,200,0.92,285,214.4,439.2
"Player_047",50,10,200,1,536,356,625.2
"Player_048",50,10,200,0.84,252,178,339.6
"Player_049",50,10,200,1,961,702.8,1126.4
"Player_050",50,10,200,1,416,315.2,539.6
"Player_051",50,10,200,0.68,229,168.6,335
"Player_052",50,10,200,1,456,365.4,607.4
"Player_053",50,10,200,0.88,269,209.4,344.6
"Player_054",50,10,200,1,771,544.2,1113.2
"Player_055",50,10,200,0.92,297,224.6,455.4
"Player_056",50,10,200,0.84,297,196.4,419
"Player_057",50,10,200,1,481,364.4,605.6
"Player_058",50,10,200,1,348,241.4,522.8
"Player_059",50,10,200,0.76,233,169,291.6
"Player_060",50,10,200,0.32,168,122.2,247.2
"Player_061",50,10,200,0.84,289,179,382.4
"Player_062",50,10,200,0.52,204,140,284.8
"Player_063",50,10,200,0.88,260,197.4,344
"Player_064",50,10,200,0.64,208,146.8,271.4
"Player_065",50,10,200,0.92,334,233.4,506.4
"Player_066",50,10,200,1,465,306,643.8
"Player_067",50,10,200,1,387,273.4,548.2
