"player_id","runs","is_home","opp_strength","format","age","season"
"Player_001",58,1,0.384,"Test",19.82,"P001_01"
"Player_001",35,0,0.643,"Test",19.95,"P001_01"
"Player_001",21,0,0.737,"T20",19.86,"P001_01"
"Player_001",22,1,0.807,"Test",19.74,"P001_01"
"Player_001",4,0,0.918,"ODI",20.22,"P001_01"
"Player_001",17,1,0.836,"T20",19.64,"P001_01"
"Player_001",98,1,0.259,"ODI",19.95,"P001_01"
"Player_001",82,1,0.633,"T20",19.99,"P001_01"
"Player_001",15,0,0.85,"ODI",19.95,"P001_01"
"Player_001",48,1,0.322,"ODI",19.76,"P001_01"
"Player_001",24,0,0.323,"ODI",20.22,"P001_02"
"Player_001",16,0,0.713,"Test",19.93,"P001_02"
"Player_001",26,0,0.885,"T20",20.12,"P001_02"
"Player_001",22,1,0.307,"Test",19.97,"P001_02"
"Player_001",61,1,0.471,"Test",20.66,"P001_02"
"Player_001",10,0,0.846,"Test",20.55,"P001_02"
"Player_001",16,1,0.647,"ODI",20.09,"P001_02"
"Player_001",11,0,0.71,"Test",20.14,"P001_02"
"Player_001",16,0,0.42,"Test",20.29,"P001_02"
"Player_001",25,1,0.929,"Test",20.23,"P001_02"
"Player_001",36,0,0.315,"Test",20.4,"P001_03"
"Player_001",189,0,0.649,"ODI",20.36,"P001_03"
"Player_001",120,1,0.38,"Test",20.45,"P001_03"
"Player_001",14,0,0.749,"Test",20.48,"P001_03"
"Player_001",19,0,0.399,"T20",20.26,"P001_03"
"Player_001",36,0,0.735,"ODI",20.29,"P001_03"
"Player_001",21,0,0.386,"Test",20.37,"P001_03"
"Player_001",23,0,0.641,"Test",20.44,"P001_03"
"Player_001",31,1,0.253,"Test",20.09,"P001_03"
"Player_001",12,0,0.743,"T20",20.43,"P001_03"
"Player_001",19,0,0.273,"ODI",20.41,"P001_04"
"Player_001",19,0,0.705,"T20",20.8,"P001_04"
"Player_001",29,0,0.344,"T20",20.43,"P001_04"
"Player_001",15,1,0.547,"Test",20.42,"P001_04"
"Player_001",11,0,0.927,"Test",20.56,"P001_04"
"Player_001",17,0,0.848,"Test",20.53,"P001_04"
"Player_001",153,1,0.414,"T20",20.7,"P001_04"
"Player_001",23,1,0.316,"ODI",20.79,"P001_04"
"Player_001",11,1,0.577,"T20",20.8,"P001_04"
"Player_001",6,0,0.839,"Test",20.81,"P001_04"
"Player_001",23,0,0.634,"Test",20.83,"P001_05"
"Player_001",11,1,0.901,"Test",20.54,"P001_05"
"Player_001",1,1,0.543,"Test",20.97,"P001_05"
"Player_001",19,0,0.255,"Test",20.59,"P001_05"
"Player_001",25,0,0.477,"Test",20.75,"P001_05"
"Player_001",13,1,0.659,"T20",21.1,"P001_05"
"Player_001",10,0,0.904,"Test",20.98,"P001_05"
"Player_001",41,0,0.404,"T20",20.9,"P001_05"
"Player_001",15,1,0.388,"Test",21.1,"P001_05"
"Player_001",23,1,0.233,"ODI",21.02,"P001_05"
"Player_002",106,1,0.621,"Test",25.34,"P002_01"
"Player_002",17,0,0.522,"Test",25,"P002_01"
"Player_002",7,0,0.874,"Test",25.36,"P002_01"
"Player_002",2,1,0.93,"T20",25.4,"P002_01"
"Player_002",24,0,0.932,"Test",25.27,"P002_01"
"Player_002",34,1,0.802,"T20",25.35,"P002_01"
"Player_002",16,0,0.35,"ODI",25.42,"P002_01"
"Player_002",20,1,0.848,"ODI",25.56,"P002_01"
"Player_002",23,1,0.904,"Test",25.35,"P002_01"
"Player_002",11,0,0.281,"ODI",25.3,"P002_01"
"Player_002",26,1,0.655,"T20",25.64,"P002_02"
"Player_002",47,0,0.473,"Test",25.44,"P002_02"
"Player_002",4,0,0.74,"ODI",25.27,"P002_02"
"Player_002",10,0,0.344,"T20",25.57,"P002_02"
"Player_002",16,0,0.428,"Test",25.36,"P002_02"
"Player_002",17,1,0.707,"T20",25.36,"P002_02"
"Player_002",5,0,0.694,"ODI",25.58,"P002_02"
"Player_002",2,0,0.705,"Test",25.68,"P002_02"
"Player_002",5,0,0.542,"T20",25.37,"P002_02"
"Player_002",36,0,0.692,"Test",25.46,"P002_02"
"Player_002",25,0,0.784,"Test",25.62,"P002_03"
"Player_002",33,0,0.888,"Test",25.69,"P002_03"
"Player_002",8,1,0.913,"ODI",25.77,"P002_03"
"Player_002",14,1,0.873,"T20",25.81,"P002_03"
"Player_002",8,1,0.774,"T20",25.9,"P002_03"
"Player_002",7,0,0.404,"ODI",25.73,"P002_03"
"Player_002",10,0,0.73,"Test",25.64,"P002_03"
"Player_002",19,1,0.492,"T20",25.83,"P002_03"
"Player_002",16,1,0.765,"ODI",26.03,"P002_03"
"Player_002",17,1,0.365,"ODI",25.68,"P002_03"
"Player_002",51,1,0.743,"ODI",26.03,"P002_04"
"Player_002",4,0,0.263,"ODI",26.11,"P002_04"
"Player_002",37,0,0.395,"ODI",25.65,"P002_04"
"Player_002",32,1,0.389,"Test",25.88,"P002_04"
"Player_002",1,0,0.95,"ODI",26.19,"P002_04"
"Player_002",6,0,0.666,"Test",26.11,"P002_04"
"Player_002",20,0,0.549,"ODI",26.13,"P002_04"
"Player_002",1,0,0.783,"Test",26.27,"P002_04"
"Player_002",31,1,0.497,"T20",26.18,"P002_04"
"Player_002",40,0,0.797,"T20",25.99,"P002_04"
"Player_002",30,1,0.696,"Test",26.03,"P002_05"
"Player_002",21,0,0.525,"ODI",26.16,"P002_05"
"Player_002",9,0,0.527,"T20",26.5,"P002_05"
"Player_002",17,1,0.549,"T20",26.15,"P002_05"
"Player_002",23,0,0.823,"Test",26.31,"P002_05"
"Player_002",15,1,0.452,"ODI",26.32,"P002_05"
"Player_002",1,1,0.41,"T20",26.2,"P002_05"
"Player_002",12,0,0.381,"ODI",26.32,"P002_05"
"Player_002",9,1,0.684,"ODI",26.6,"P002_05"
"Player_002",11,0,0.43,"T20",26.45,"P002_05"
"Player_003",34,1,0.464,"ODI",32.64,"P003_01"
"Player_003",8,0,0.741,"ODI",32.72,"P003_01"
"Player_003",11,1,0.935,"Test",32.76,"P003_01"
"Player_003",4,1,0.211,"T20",32.72,"P003_01"
"Player_003",8,0,0.678,"ODI",32.75,"P003_01"
"Player_003",6,1,0.338,"Test",32.4,"P003_01"
"Player_003",64,1,0.256,"T20",32.81,"P003_01"
"Player_003",48,1,0.264,"Test",32.53,"P003_01"
"Player_003",17,0,0.782,"ODI",32.65,"P003_01"
"Player_003",13,1,0.429,"T20",32.8,"P003_01"
"Player_003",10,0,0.398,"Test",32.52,"P003_02"
"Player_003",5,0,0.317,"ODI",32.42,"P003_02"
"Player_003",4,1,0.727,"ODI",32.75,"P003_02"
"Player_003",2,1,0.791,"T20",32.75,"P003_02"
"Player_003",3,0,0.686,"ODI",32.91,"P003_02"
"Player_003",12,1,0.529,"ODI",32.88,"P003_02"
"Player_003",3,0,0.867,"T20",32.9,"P003_02"
